EXPERIMENT,SCALE,ENCODING,NOTE,PAYLOAD_COLS,RUN_ID,TOTAL_US,MATERIALIZE_US,RUN_GEN_US,MERGE_US,WRITE_OUT_US
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,8,879250,48043,73156,422701,317764
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,9,700757,33304,94009,335032,215072
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,0,1013796,50269,71360,348204,526063
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,1,846548,34219,67361,373820,347876
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,2,1041173,52954,50600,372070,542024
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,3,996796,53375,69670,362045,494000
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,4,769901,31163,67827,308907,338878
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,5,1030830,52367,50631,367598,536141
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,6,988933,50411,69769,363027,487929
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,7,782007,36860,67253,309871,343281
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,8,969353,56301,51114,300455,536352
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,9,1001772,53322,69566,363024,498172
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,0,2039888,53441,44651,368931,1551532
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,1,1953605,58504,81922,337898,1459939
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,2,1823384,44499,66480,352606,1290386
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,3,2085486,66607,55901,342863,1551260
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,4,2289848,85361,82947,347702,1758050
