EXPERIMENT,SCALE,ENCODING,NOTE,PAYLOAD_COLS,RUN_ID,TOTAL_US,MATERIALIZE_US,RUN_GEN_US,MERGE_US,WRITE_OUT_US
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,6,11079458,513161,166698,1630383,8458844
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,7,11273789,522461,163741,1659564,8609587
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,8,11107984,516695,169372,1587967,8517537
"TPC-H_Lineitem_ByShipdate_payload4",1,"Dictionary","multi-threaded",4,9,11459724,513884,165371,1878905,8583727
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,0,11993787,518348,167499,1635598,9350893
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,1,11951186,511846,168516,1611090,9344654
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,2,12047725,515280,162858,1627227,9427058
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,3,11928159,507591,163995,1608571,9319160
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,4,11935073,509627,170462,1635789,9310044
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,5,11961369,514827,164953,1632998,9336563
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,6,11892105,506535,162090,1591942,9305323
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,7,11897795,506224,160708,1666648,9255674
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,8,11988012,512752,170323,1635367,9306430
"TPC-H_Lineitem_ByShipdate_payload8",1,"Dictionary","multi-threaded",8,9,11912247,508235,172721,1621049,9301512
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,0,14992732,528239,169485,1631435,12330149
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,1,14937120,516423,171658,1617700,12313001
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,2,14956834,518097,171811,1620255,12334041
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,3,15079775,520713,170002,1634094,12399895
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,4,14998086,517741,172604,1620585,12369874
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,5,14922073,513186,165418,1635969,12297027
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,6,15121132,509618,159461,1635714,12504740
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,7,15115785,520172,171835,1585038,12527989
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,8,15449479,517958,174715,1895041,12548386
"TPC-H_Lineitem_ByShipdate_payloadall",1,"Dictionary","multi-threaded",15,9,15208053,515417,176544,1636883,12561314
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,0,11342806,214626,94174,622426,10263613
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,1,11547571,225637,73735,737180,10326577
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,2,11653533,217772,88816,726420,10478815
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,3,11282598,220314,96525,620358,10196547
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,4,11249813,220818,91863,614998,10181467
"TPC-H_Lineitem_ByOrderkey_Wide",1,"Dictionary","multi-threaded",15,5,11620685,226370,77118,732595,10443079
